Título;Subtítulo;Autor;Editor;Encuadernación;Fecha de compra;Precio de compra;Editorial;Edición;Año del copyright;Año de publicación;ISBN#;LCCN#;Páginas;Traductor;Idioma;Género;Palabras clave;Serie;Número en la serie;Condición;Firmado;Leído;Regalo;Prestado;Clasificación;Carátula frontal;Sinopsis;Comentarios;ID;Fecha de creación;Fecha de modificación;País Autor;Estante
El General, el Pintor y La Dama;;de Miguel, María Esther;;Tapa dura;;;Grupo Planeta Spain;;;2013;950-490870-5;;209;;Castellano;Narrativa;"Novela histórica; Ficción";;;;;;;;;092ff5631454009f096565c55f6535f0.jpeg;"<p>El general Justo José de Urquiza y el pintor uruguayo Juan Manuel Blanes son protagonistas de esta apasionada historia. María Esther de Miguel ofrece una novela de amor y odio ambientada en las dos márgenes del Río de la Plata, que narra en clave ficcional un hecho real que escandalizó a sus contemporáneos. A diez años de su muerte, Planeta se complace en poner al alcance del público los grandes éxitos de esta inolvidable autora argentina. “Novelar la historia significa acercarla a la gente. Incorporar en ella el amor significa humanizarla. Creo que estas fueron las premisas que guiaron a la escritora argentina María Esther de Miguel al momento de sentarse a escribir sobre la gesta de nuestros héroes. Fue una de las precursoras en esto de mostrarnos a los solemnes próceres como los seres humanos que eran, con virtudes pero también con defectos; con coraje pero también con miedos; con gloria pero también con bajezas; exaltados pero también derrotados. Ellos amaban, odiaban, sufrían, traicionaban y eran traicionados. Los invito a descubrir en esta nueva edición de la obra de María Esther de Miguel la historia de la Argentina contada desde un lugar más intimista, romántico tal vez, pero tan real como el de los libros de texto que aprendimos de memoria en el colegio. Será una experiencia que dejará huella en el lector.” Florencia Bonelli</p>";;54;2023-10-15;2023-10-15;Argentina;
Te Conozco, Mendizábal;Y Otros Cuentos;Sacheri, Eduardo Alfredo;;Tapa blanda;;;Editorial Galerna;6;2007;2007;978-950-556422-4;;219;;Castellano;Narrativa;"Cuentos; Literatura";;;;;;true;;;a2e41e4368a3f5d506fe107eb429aac3.jpeg;En Te conozco, Mendizabal, y otros cuentos, Eduardo Sacheri vuelve a entregarnos la plastic dad de su pluma para reproducir voces, presentar una galeria de personajes notables en sus frace sos, dolores y alegrias, puestos todos al servicio de relatos de impecable factura.<br/><br/>Los cuentos de fútbol que supieron emocionar al lector an ticiparon lo que desde entonces podia entreverse, que más allá del tema propuesto, Sachen domina el género con maestria y sabe generar climas, ámbitos y situaciones por los que deambulan sus criaturas, genuinamente argentinas.<br/><br/>Asi, las historias de amores, traiciones, amistades y vengan zas protagonizadas por mujeres que asisten puntuales a la cita, por hombres perseguidos y desesperados, por personajes suburbanos y marginales, van con absoluta soltura de lo fan tástico al naturalismo y se entretejen con tres memorables relatos futbolisticos, consiguiendo en su conjunto inscribir el nombre del autor junto al de los más destacados cuentistas argentinos contemporáneos,<br/>;;55;2023-10-15;2023-10-16;Argentina;
Lo Que No Se Nombra;;Margall, Gabriela;;Tapa blanda;;;Vestales;1;2008;2008;978-987-140512-1;;285;;Castellano;Narrativa;"Narrativa; Argentina; Ficción; Histórica";;;;;true;;;;dfff9e7d51c3c6b50eafa700cd6a85d9.jpeg;<p><b>En esta consagratoria novela, Gabriela Margall recrea un universo singular en el que la ciudad y la vida privada se entrelazan y los personajes borrosos adquieren una voz y un contorno.</b></p> <br/> <p>A comienzos del siglo XX, Buenos Aires es puro bullicio. Mientras algunas familias construyen su linaje contra viento y marea, otras, las que llegaron en los barcos, luchan por alcanzar la prosperidad. En las casas elegantes, las señoritas son criadas como princesas: dóciles, silenciosas, casaderas. Ese podría ser el destino de Victoria Serment Lezama si no fuera por sus rubores constantes y su falta de habilidades sociales. Victoria no encaja en ese mundo de opulencia y rituales. Quiere más y no tiene palabras para expresarlo. Se cruzará un día con Federico Elisalde, un hijo de inmigrantes que ahora es médico y sueña con un país para todos los que quieran habitarlo. Encuentros y desencuentros signarán los destinos de Victoria y Federico: como en un laberinto de espejos, tendrán que andar hasta hacerle frente a un amor innegable.</p> <p>En esta reedición, se incluye también la novela Los Naranjos, escrita en 2001 y hasta ahora inédita, de cuando la autora era estudiante de Historia en la Universidad de Buenos Aires. En Los Naranjos está el germen de Lo que no se nombra, una de las más hermosas novelas de <b>Gabriela Margall</b>.</p>;;56;2023-10-15;2024-02-10;Argentina;
Rosaura a Las Diez;;Denevi, Marco;;Tapa blanda;;;Alianza;;;1964;84-20-60636-7;;224;;Castellano;Narrativa;Literatura;;;;;true;;;;5808a6d814e73f7332f0a9694d29d8ab.jpeg;El argentino MARCO DENEVI (1922) puede contarse, sin ningún género de duda, entre los más destacados narradores no sólo de su país, sino de toda Hispanoamérica. Elementos características de las obras de este sejercitador de las letras»-como alguna vez él mismo se ha definido, siempre admirablemente bien construidas, son los personajes que bordean lo estrafalario cuando no incurren de lleno en ello, la ambigüedad de la percepción y el conocimiento, el predominio de la intriga y un humor que tiende al negro. En ROSAURA A LAS DIEZ-novela ganadora del Premio Kraft en 1955, con la que irrumpió en el panorama de las letras en castellano, y que Mujica Láinez, miembro a la sazón del jurado, calificó de «una verdadera narración, una narración que no se diluye en nimiedades, una narración en la que por fin sucede algo»- se despliega gradualmente ante nosotros a través de cinco testimonios distintos, con firme pulso narrativo, la trama de un misterio que atrapa al lector desde el comienzo de la obra y lo obliga a ir dando formas sucesivas a la encarnadura de una historia inverosímil y a la vez trivial. Reducir, no obstante, esta novela a la categoría de una «novela de misterio»> sería tan simplista como miope. Por debajo de la perfección de su engranaje y del dominio de los recursos narrativos, de ella parece acabar surgiendo con fuerza una concepción de la existencia como la de algo caótico y disgregado, de un inquietante doble juego en que se ven envueltos el ser y la imagen que de él reflejan los fragmentos de un espejo roto.;A Spanish-language mystery novel by Argentinian author Marco Denevi. It centers around a group of characters that live in a boarding house called La Madrilena, in Buenos Aires. It is owned by a woman named Mrs. Milagros, who lives there with three of her daughters, a painter named Camilo, and a young law student named David, among other characters. However, when one of the residents begins receiving letters from a mysterious woman named Rosaura, the entire boarding house gets pulled into the mystery. Exploring themes of love, mystery, crime, and the way people are intertwined, it was one of the most popular Argentinian novels of the era, and was adapted into a 1958 film directed by Mario Soffici.;57;2023-10-15;2023-10-15;Argentina;
El Unicornio;;Láinez, Manuel Mujica;;Tapa blanda;;;Penguin Random House Grupo Editorial Argentina;4;1965;2009;978-987-566487-6;;428;;Castellano;Narrativa;"Aventura; Fantasía";;;;;;;;;488fe3dda0895e11229e01f1967fc39b.jpeg;<p>La leyenda medieval del hada Melusina, a la que su madre condenó a que<br/>todos los sábados la parte inferior de su cuerpo adoptara la forma de<br/>una serpiente, es el material fabuloso del que se sirve Manuel Mujica<br/>Lainez en esta singular novela.</p> <br/> <p>La leyenda medieval del hada Melusina, a la que su madre condenó a que<br/>todos los sábados la parte inferior de su cuerpo adoptara la forma de<br/>una serpiente, es el material fabuloso de que se sirve Manuel Mujica<br/>Lainez en esta singular novela.<br/>El unicornio representa para la Edad Media, dentro de la obra de su<br/>autor, lo que Bomarzo fue para el Renacimiento: una colosal recreación<br/>poética que juega con la atmósfera del pasado para ofrecernos un texto<br/>de sugestiva belleza, rara y absorbente. La historia y la magia, la<br/>minuciosa reconstrucción de ambientes remotísimos y una originalísima<br/>fantasía que anima todas y cada una de sus páginas se conjugan en un<br/>relato inolvidable que constituye sin lugar a dudas una de las obras<br/>maestras del gran escritor argentino.<br/></p>;;58;2023-10-15;2023-10-15;Argentina;
Los Personajes de Manuel Mujica Lainez;;Baron, Fundación René;Barón, Carlos;Tapa blanda;;;Fundación René Barón;1;2010;2010;978-987-259-950-8;;98;;Castellano;Tributo;"Descriptivo; Argentina";;;Nuevo;;true;;;;274a47ab0d839d08ff849f77dd04a3fc.jpeg;;;59;2023-10-15;2023-10-15;Argentina;
Misteriosa Buenos Aires;;Láinez, Manuel Mujica;;Tapa blanda;;;Debolsillo;14;1964;2015;978-987-566100-4;;284;;Castellano;Narrativa;"Histórica; Ficción; Argentina";;;Nuevo;;true;;;;017200d5d28a1a70044b025795889fb8.jpeg;<p><b>Otra maravillosa novela de Manuel Mujica Lainez.</b></p> <br/> <p><b>Misteriosa Buenos Aires </b>es una historia de la ciudad porteña donde la visión estética de los hechos,los personajes y los paisajes alcanza su realización magistral a través de relatos a veces imaginarios y a veces reales. Lo que en ella ocurre de trágico, de místico, de jocundo o de curioso forma parte de la cosmovisión de <b>Manuel Mujica Lainez</b> y su modo peculiar de revivir el pasado.<br/></p>;;60;2023-10-15;2024-02-10;Argentina;
Sobre Héroes Y Tumbas;;Sabato, Ernesto;;Tapa dura;;;Editorial Planeta, S. A.;;1983;2001;950-490859-4;;508;;Castellano;Narrativa;"Ficción; Literatura";Colección La Nación;;;;;;;;327a53f8e6fa0098efd5ee91704f4917.jpeg;<p><b>El dualismo entre el bien y el mal, la incomunicación, el sin sentido y otras angustias del hombre moderno</b></p> <p>Una novela donde Ernesto Sábato plantea toda su carga ideológica. Centrada en el personaje de Martín, un hombre en busca de sí mismo, el escritor argentino expone su particular visión sobre la soledad, tema clave en su narrativa. Cercana a ciertas obras del existencialismo francés despertó la admiración de Camus.</p>;;61;2023-10-16;2023-10-16;Argentina;
El Túnel;;Sabato, Ernesto;;Tapa blanda;;;Booket;6;1948;2008;84-32-24836-3;;143;;Castellano;Narrativa;"Ficción; Literatura";;;;;;;;;99ddd68bffe19982d43195e38cab41ec.jpeg;El amor ilimitado truncado por un engaño convertirá el corazón de un hombre en un pedazo de duro y frío hielo y colocará en sus manos el cuchillo que pone final al sufrimiento. Sabato nos entrega los elementos básicos de su visión metafísica del existir.;;62;2023-10-16;2023-10-16;Argentina;
Fabulas Argentinas;;Daireaux, Godofedro;Sarmiento, Jorge;Tapa blanda;;;Universitas;;2007;2007;978-987-227-723-9;;186;;Castellano;Narrativa;"Fábulas; Argentina";Colección La Cultura Argentina;;;;true;;;;2dc3215f604b625df3ffc052f702721d.jpeg;;Las fábulas son excelentes instrumentos didácticos pues ayudan a grabar en la mente ideas y pensamientos morales de modo Inolvidable. ¿Y qué mejor que estas fábulas en las que intervienen hombres, animales, plantas de nuestra tierra argentina? Textos breves, entretenidos y extremadamente ricos en enseñanzas. El caballo, el loro, los árboles frutales, el mono, la cigüeña, el colibri. son algunos de los actores de estas historias que nos pueden dejar iguales enseñanzas que varios tomos de filosofia.<br/><br/>Dairean, Godofredo<br/><br/>(Paris, 1849 Buenos Aires. 1916)<br/><br/>Escritor argentino. Hijo de un normando que había hecho fortuna con el café en Bras Daireaux se establece en la Argentina en 1868. dedicándose a la actividad agropecuaria de Rufino en la provincia de Santa Fey Laboulaye y General Viamonte en la provincia de Córdoba. Por problemas de salud abandona su labor colonizadora y se dedica a la escritura y la docencia. Es Inspector General de Enseñanza Secundaria y Normal. Enseña Francés en el Colegio Nacional. Trabaja en La Nación, colabora en Caras y Caretas, La Prensa, La Ilustración Sudamericana, La Capital de Rosario, y dirige el diario francés L'independant. Escribe relatos de costumbres y tratados como La cita del ganado (1887), Almanaque para el campo y Trabajo agricola. En Paris publicó Dans la Pamps (1912). Una escuela de artes y oficios en Rufino, calles en varias ciudades y un partido bonaerense recuerdan su nombre.<br/><br/>La propuesta editorial Colección La Cultura Argentina<br/><br/>se basa en la reedición de obras de prestigiosos autores consideradas constructoras del pensamiento argentino. Textos que, en la actualidad. poseen un alto valor histórico y documentan los gérmenes de la cultura argentina. Colección que se constituye en un valioso archivo cultural.;63;2023-10-16;2023-10-16;Argentina;
Prueba Del Dulce de Leche, La;;Conti, Juanjo;;Tapa blanda;2015-01-01;;Licencia Creative Commons;;2014;;;;47;;;Narrativa;"Cuentos; Licencia Creative Commons";;;;;;;;;eae41ae2b847d4166f0929b5593d8839.jpeg;"""Yo quería hacer el último gol. Y quería que le hagamos 'paredón'. Quería vengarme. No me importaba que el Crema no haya estado el día anterior. Solo quería darle un puntinazo con fuerza a la pelota e incrustársela en la espalda.""<br/><br/>""Se ve que el meticuloso letrado no se pudo resistir a la seducción diaria de ver cómo María del Rosario tomaba las varillas de pan, las partía ante sus ojos y, siempre con una sonrisa, las metía en una bolsa de papel que enrollaba con firmeza.""<br/><br/>""Ale, el Chapa, el Chami, Dimitri y yo, luego de haber estado haciendo ejercicios de derivadas e integrales por unas tres horas, decidimos hacer un corte para merendar. Los cuchillos sobrevolaban el mantel como pequeños aeroplanos bimotores y todos hablábamos a la vez.""<br/>";;64;2023-10-16;2023-10-16;Argentina;
Pago Chico;;Payró, Roberto Jorge;;Tapa blanda;;;Terramar;1;2013;2013;978-987-617183-0;;194;;Castellano;Narrativa;"Argentina; Rural; Literatura";;;;;;;;;846076c9067fadc2547c154b49783475.jpeg;"""Difundidos como relatos, viñetas o aguafuertes en diarios y revistas de la época, los cuentos de Pago Chico eran muy conocidos ya antes de su publicación en 1908. Basándose en copiosos recursos documentales y testimoniales obtenidos en su vida de periodista itinerante, Payró, con la excusa de hablar de Bahía Blanca, nos da un retrato del país entero en los últimos años del siglo XIX e inicios del XX. En Pago Chico están la carencia nacional de un proyecto social y ético, y la amoralidad instalada, bajo sus múltiples formas, en los funcionarios públicos; están los punteros de comité y las familias tribales; están el especulador y el hipócrita que no duda en apelar a cualquier medio para conseguir sus fines. La piadosa mirada irónica de Payró, que no depone su característico tono satírico, nos revela la deshonestidad irreversible de intendentes, jueces, políticos, comerciantes y periodistas en un mundo que, asombrosamente, no es demasiado distinto de nuestro mundo. Con uno o dos cambios de detalle, las historias de Pago Chico podrían haber sido escritas, en la Argentina, en cualquiera de los años de este siglo XXI.""--Contratapa.";;65;2023-10-16;2023-10-16;Argentina;
El Gaucho Martin Fierro;;Hernandez, Jose;;Tapa blanda;;;Terramar;1;2007;2007;987-942301-1;;160;;Castellano;Narrativa;"Literatura; Argentina";;;;;true;;;;25c0acb507ed44cea719128bdd7cd427.jpeg;El Gaucho Martín Fierro es un poema narrativo, escrito en verso por José Hernández en 1872, obra literaria considerada ejemplar del género. Debido a que tiene una continuación, La vuelta de Martín Fierro, escrita en 1879, este libro es también conocido como «La ida». Ambos libros han sido considerados como libro nacional de la Argentina, bajo el título genérico de «El Martín Fierro». En «La ida», Martín Fierro es un gaucho trabajador al que la injusticia social lo vuelve gaucho matrero (fuera de la ley).Narra el carácter independiente, heroico y sacrificado del gaucho. El poema es, en parte, una protesta en contra de la política del presidente argentino Domingo Faustino Sarmiento de reclutar forzosamente a los gauchos para ir a la frontera contra los indígenas.;;66;2023-10-16;2023-10-16;Argentina;
Australia Argentina, La;;Payró, Roberto Jorge;;Tapa dura;;;Universitaria;;1963;1963;;;125;;Castellano;Narrativa;"Ficción; Argentina";;;;;;;;;d5490d8f734619868d9a0152d521bc43.jpeg;<p> La Australia argentina es una novela de viajes escrita por Roberto Jorge Payró. La obra es considerada una de las primeras novelas de temática social en la literatura argentina y aborda la realidad de la inmigración y el desarrollo de la colonización en el país. <br/>La historia se sitúa en la provincia de Santa Fe, en Argentina, y sigue la vida de un grupo de colonos que llegan a la región en busca de una vida mejor. Los personajes principales son inmigrantes europeos que se enfrentan a las dificultades de adaptarse a un nuevo entorno, a la explotación por parte de las autoridades locales y a la lucha por sobrevivir en condiciones adversas. <br/>A través de los personajes y sus experiencias, Payró retrata las desigualdades sociales, la explotación laboral y las tensiones entre los colonos y las autoridades. También aborda temas como la corrupción política, la injusticia social y la resistencia de los colonos para hacer valer sus derechos. <br/> La Australia argentina es considerada una obra seminal en la literatura argentina y marcó un hito en la representación de la realidad social del país en la literatura. Roberto Jorge Payró, reconocido por su compromiso social y político, utiliza la novela como una herramienta para denunciar las injusticias y desigualdades de la época, así como para promover la conciencia social y la lucha por la justicia.</p>;;67;2023-10-16;2023-10-16;Argentina;
Insumisa, La;;Rossi, Cristina Peri;;;;;Menoscuarto Ediciones;2;2022;2022;978-84-15-74063-6;;238;;Castellano;Narrativa;"Composición; No Ficción; Mujer";;;Nuevo;;true;true;;;f1c5f9739c90a3ad019d62a6b88c460c.jpeg;"""La primera vez que me declaré a mi madre, tenía tres años... Yo tenía propósitos serios: pretendía casarme con ella... constituir un matrimonio lleno de amor, ternura, comprensión y gustos compartidos..."" Así comienza esta novela autobiográfica de Cristina Peri Rossi que recorre sus años de infancia y juventud con perplejidad y extrañeza ante un mundo que le ha tocado vivir y no comprende. A través de estas páginas se percibe una vida en permanente conflicto entre el deseo y la realidad, buscando cumplir sus anhelos más profundos a pesar de las prohibiciones y costumbres sociales que conlleva el ser mujer. Y como en sus mejores libros, el lector encontrará amor, lirismo, drama contenido y humor, ese humor que le caracteriza, no burlón, sino lleno de piedad y ternura.";;68;2023-10-17;2024-04-14;Argentina;D7
Coplas de Nelson;;Vega, Calos Nelson;;Tapa blanda;;;Cafayate;;2000;;;;;;;Coplas;"Coplas; Rural; Relatos";;;;;true;;;;7ab511284133e94b8510395d90829abe.jpeg;;;69;2023-10-17;2023-10-17;Argentina;
Ema La Partysana;;Prado, Esteban;;Tapa blanda;;;Letra Sudaca;1;2018;2018;978-987-398515-7;;120;;Castellano;Narrativa;Novela;;;;;true;;;;a1c9e04c42d44f7a4336f391e7ed4211.jpeg;Ema es una mujer joven que vive en un futuro cercano, Trabaja con Almeida en un local de costura, ubicado en una galería en la que también han montado sus negocios León, Amador, Karina y Jimena. A contraturno se juntan a conspirar: empiezan con ataques cibernéticos y preparan golpes más grandes, hasta que el mundo que conocen cambia. Una enfermedad que se expande por las costas del Atlántico obliga a evacuar la ciudad y construir un muro. Esto afecta la vida de todos, en particular la de Ema, que inicia un camino que la ayudará a descubrir y entender su pasado. Lo que pueda suceder a partir de entonces es inciertos como ella misma sabe, «el futuro viene de afuera.<br/><br/>Ema, la partysana es la segunda novela de Esteban Prado y continúa con el universo iniciado en Ana, la niña austral.;;70;2023-10-17;2023-10-17;Argentina;
100 Covers de Cuentos Clásicos;;Casciari;;Tapa blanda;2021-01-01;;Orsai;;;2021;978-84-15-52526-4;;410;;Castellano;Narrativa;"Cuentos; Clásicos";;;;;true;;;;844413bbd46518a4fe1c03782dd0ac0f.jpeg;"Reunimos aquí un centenar de cuentos clásicos en versiones resumidas a los que Casciari les pone también la voz, para que ni siquiera haya que leerlos. De este modo el público podrá alardear de cultura general frente a sus parientes, con frases como por ejemplo <<ya lo dijo Borges en uno de sus cuentos>>.<br/><br/>Hay historias clásicas y modernas; de plumas americanas, asiáticas y europeas; de amor, de suspenso o de miedo. Y siempre con un rasgo en común: se trata de relatos que trascienden el tiempo.<br/><br/>En estos covers Casciari modifica el final o sintetiza la trama con un objetivo simple: que cada cuento pueda leerse (o escucharse) en menos de cinco minutos.<br/><br/>100 covers de cuentos clásicos es un volumen de relatos de varios autores que incluye una playlist en la voz de Hernán Casciari.";;71;2023-10-17;2023-10-17;Argentina;
Ministerio de Invierno;;Balian, Juan Cruz;;Tapa blanda;2020-01-01;;El Gato y La Caja;;2020;2020;978-987-472704-6;;;;Castellano;Narrativa;"Novela; Literatura; Argentina";;;;;true;;;;cc5e1ce129cb455db05aa3889b74e054.jpeg;En enero fue evidente que algo ocurría. El sol había perdido fuerza, como si llegase a través de un filtro polarizado. El pasto se quemaba bajo el rocio y en las horas más tempranas de la mañana flotaba una neblina baja a la altura de las rodillas, jirones de nubes que se prolongaban hasta el mediodía. Los informes científicos no eran concluyentes. Cada uno arriesgaba su propia hipótesis, pero todos se declaraban incapaces de pronosticar cuánto tiempo duraría el fenómeno. Aun así, el asunto fue bien recibido: se trataba de un golpe de suerte para un mundo recalentado que precisaba enfriarse.<br/><br/>Una mujer desaparecida, un invierno sin bordes y un viaje a las profundidades de un edificio gubernamental tras la pista de un expediente perdido. Una novela sobre la obsesión y la búsqueda de la verdad en un mundo que ha cambiado para siempre.;Gato y la Caja;72;2023-10-17;2023-10-17;Argentina;
Waslala;Memorial Del Futuro;Belli, Gioconda;;Tapa blanda;;;Seix Barral;6;2006;2013;978-84-32-29678-9;;342;;Castellano;Narrativa;Ficción;;;;;true;;;;31d7e3e25cccb9bf2afa3520bc9463df.jpeg;Melisandra balancea sus piernas sobre el río que corre lentamente junto a la hacienda de su abuelo. Aguarda, con la calma propia de los habitantes de Fagua, la llegada anual de los contrabandistas que traerán las últimas noticias del mundo. Pero esta vez con ellos llega un forastero desconocido que le propone emprender juntos la aventura con la que siempre soñó. Siguiendo el curso del río, internándose en la selva, dos jóvenes emprenden un viaje para encontrar Waslala , el paraíso en cuya búsqueda se perdieron los padres de Melisandra, un lugar utópico y legendario que parece haberse esfumado, dejando tan sólo la huella de un ideal imposible, un sueño maravilloso grabado en el recuerdo de unos pocos. Gioconda Belli recrea uno de los mitos que acompañan al hombre desde el origen del pensamiento: la búsqueda de la Utopía. Y lo hace a través de una historia tremendamente envolvente y sensual que nos transporta a un futuro no tan lejano del que sólo el amor y la imaginación pueden redimirnos. Con cientos de miles de lectores en diferentes lenguas y en todo el mundo, Waslala es una novela llena de magia que se lee, se recomienda y se recuerda con verdadera pasión.;;73;2023-10-17;2023-10-17;Nicaragua;
El País Bajo Mi Piel;;Belli, Gioconda;;Tapa blanda;;;Seix Barral México;;;2017;6-07074224-9;;484;;Castellano;Narrativa;"Autobiográfico; Relatos; Mujer";;;;;true;;;;f881658cff70775d6e6ecdad5d2e41bf.jpeg;<p>«He sido dos mujeres y he vivido dos vidas. Una de mis mujeres quería hacerlo todo según los anales clásicos de la feminidad: casarse, tener hijos, ser complaciente, dócil y nutricia. La otra quería los privilegios masculinos: independencia, valerse por sí misma, tener vida pública, movilidad, amantes. Creo que al fin he logrado que ambas cosas coexistan bajo la misma piel. Sin renunciar a ser mujer, creo que he logrado también ser hombre.»</p> <p>Con lenguaje llano y directo, Gioconda Belli narra en primera persona los acontecimientos que signaron su historia, desde la niña de familia acomodada hasta la guerrillera sandinista, pasando por la escritora de fama internacional, la política involucrada con su país tras el fin de la dictadura, la amante transgresora y la madre desvelada. Sin medias tintas, Belli va desplegando las contradicciones propias de una existencia abierta a la aventura y a los desafíos.</p> <p>Estas memorias son a la vez un poderoso testimonio sobre una época clave de la historia latinoamericana y el delicado autorretrato de una mujer a la vez excepcional y corriente. Dos realidades paralelas, el amor y la guerra, se cruzan en estas páginas que reflexionan sobre la permanencia de los ideales y la fuerza motora de la pasión.</p>;;74;2023-10-17;2024-04-14;Nicaragua;D7
Guerra No Tiene Rostro de Mujer, La;;Alexievich, Svetlana;;Tapa blanda;2016-01-01;;Penguin Random House Grupo Editorial España;1;2013;2015;978-987-375235-3;;368;"Dobrovolskia, Yulia; Gonález, Zahara García";Castellano;Narrativa;"Literatura; Crítica; Este Europa; Histórica; Mujer";;;;;true;;;;3c882368f20046b984c33c2d080665bd.jpeg;"<p><b>La Premio Nobel de Literatura 2015 Svetlana Alexiévich, «la voz de los sin voz», muestra en esta obra maestra una perspectiva de la guerra ignorada hasta el momento: la de las mujeres que combatieron en la segunda guerra mundial.</b></p> <p>Casi un millón de mujeres combatió en las filas del Ejército Rojo durante la segunda guerra mundial, pero su historia nunca ha sido contada. Este libro reúne los recuerdos de cientos de ellas, mujeres que fueron francotiradoras, condujeron tanques o trabajaron en hospitales de campaña. Su historia no es una historia de la guerra, ni de los combates, es la historia de hombres y mujeres en guerra.</p> <p>¿Qué les ocurrió? ¿Cómo les transformó? ¿De qué tenían miedo? ¿Cómo era aprender a matar? Estas mujeres, la mayoría por primera vez en sus vidas, cuentan la parte no heroica de la guerra, a menudo ausente de los relatos de los veteranos. Hablan de la suciedad y del frío, del hambre y de la violencia sexual, de la angustia y de la sombra omnipresente de la muerte. Alexiévich deja que sus voces resuenen en este libro estremecedor, que pudo reescribir en 2002 para introducir los fragmentos tachados por la censura y material que no se había atrevido a usar en la primera versión.</p> <p>«[...] por su escritura polifónica, que es un monumento al valor y al sufrimiento en nuestro tiempo.», <b>palabras del Jurado de la Academia Sueca al otorgar a la autora el Premio Nobel de Literatura 2015.</b></p> <p>«Soy historiadora de almas [...]. Por un lado, estudio a la persona concreta que ha vivido en una época concreta y ha participado en unos acontecimientos concretos; por otro lado, quierodiscernir en esa persona al ser humano eterno. La vibración de eternidad. Lo que en él hay de inmutable.»<br/><b>Svetlana Alexiévich</b></p> <p><b>Reseñas:</b><br/>«Gracias a Alexiévich, la historia de un millón de mujeres que participaron en el ejército soviético o como partisanas contra los alemanes es algo menos desconocida.»<br/>Felipe Sahagún, <i>El Cultural de El Mundo</i></p> <p>«De la lectura de los libros de Alexiévich (Stanislaviv, 1948) no es posible salir indemne.»<br/>Gabriel Albiac, <i>ABC Cultural</i></p>";;75;2023-10-17;2024-04-14;Bulgaria;D7
Mujeres de La II República: 1931-1939;Historia de La Fotografía;Vega, Ramón Guerra de La;;Tapa blanda;;;Ediciones Guerra de La Vega;;;2013;978-84-88-27134-1;;216;;Castellano;Investigración;"Histórica; España; Mujer";;;;;true;;;;44bcdab97309ab4f98a93dec933dc23d.jpeg;Desde el fin de la I Republica durante mas de medio siglo el movimiento republicano en España lucho incansablemente por recuperarla. Las mujeres que pertenecian a la intelectualidad estuvieron en todos los foros, debates y periodicos apoyando la causa que sabian era la suya. Desde la politica, la literatura, el periodismo, el movimiento obrero, la lucha feminista, cientos de escritoras, profesoras, investigadoras, cientificas, artistas, y miles de obreras y campesinas participaron en la construccion de la II Republica, y cuando se desencadeno el golpe fascista acudieron en masa a luchas en las trincheras, a trabajar en las fabricas y en los campos. Y concluida la contienda con la derrota del ejercito republicano, las guerrillas, la resistencia antifranquista, las organizaciones clandestinas, el movimiento sindical y el feminista, se nutrieron de la fuerza y la tenacidad de las mujeres.;;76;2023-10-17;2024-04-14;España;D7
Último Vuelo;Diario de La Aventura Que La Convirtió en Leyenda;Earhart, Amelia;;Tapa blanda;2016-01-01;;Ediciones B;1;1937;2004;84-66-61456-7;;254;"Gurguí, Montserrat; Sabaté, Hernán";Castellano;Narrativa;"Biografía; Volar; Mujer";;;;;true;;;;0dbffbcdff2d237fc6b2358c59be3918.jpeg;Quiero que sepas que soy muy consciente de los riesgos. Lo hago porque quiero hacerlo. Las mujeres deben tratar de hacer las cosas como lo han intentado los hombres. Y cuando fracasen, su fracaso no debe ser sino un desafio para otras.<br/><br/>Con estas palabras, escritas en una carta a su marido, Amelia Earhart cierra su proplo relato, dramático y personal, del histórico vuelo alrededor del mundo que terminó con su trágica desaparición en algún lugar al suroeste de las islas Nukumanu, en el océano Pacifico como si tuviera un presentimiento, al terminar cada etapa del viaje, Amelia envió  no sólo informes y cartas personales, sino también sus diarios, cartas de vuelo y el diario de a bordo que llevaba en la carlinga. Este material, adaptado luego por su marido, el editor George Palmer Putman, forma una narración continuada del vuelo, desde el despegue en Oakland, California, hasta los últimos preparativos en Lac, Nueva Guinea, desde donde el Lockheed Electra despegó para dirigirse a la isla de Howland y desapareció sin dejar rastro.... Antes, unos capitulos autobiográficos recogen cómo llegó Amelia Earhart a ser piloto y describen sus otros vuelos históricos. En conjunto, este extraordinario testimonio de la aviación nos acerca a la esencia de la joven radiante y aventure- ra cuyo nombre conserva, todavía hoy, todo su magnetismo.<br/><br/>Último vuelo es el relato de un vuelo dramático y, al mismo tiempo, el retrato de una gran aviadora. Amelia Earhart está viva en estas páginas. Este libro quedará como una de las grandes narraciones del aire.;;77;2023-10-17;2024-04-14;Estados Unidos;D7
